ZIP,STCOUNTYFP,CITY,STATE,COUNTYNAME
36091,1001,Verbena,AL,Autauga County
36758,1001,Plantersville,AL,Autauga County
36006,1001,Billingsley,AL,Autauga County
36067,1001,Prattville,AL,Autauga County
36701,1001,Selma,AL,Autauga County
36003,1001,Autaugaville,AL,Autauga County
36008,1001,Booth,AL,Autauga County
36068,1001,Prattville,AL,Autauga County
36022,1001,Deatsville,AL,Autauga County
36703,1001,Selma,AL,Autauga County
36749,1001,Jones,AL,Autauga County
36066,1001,Prattville,AL,Autauga County
36051,1001,Marbury,AL,Autauga County
36502,1003,Atmore,AL,Baldwin County
36507,1003,Bay minette,AL,Baldwin County
36527,1003,Daphne,AL,Baldwin County
36532,1003,Fairhope,AL,Baldwin County
36561,1003,Orange beach,AL,Baldwin County
36550,1003,Little river,AL,Baldwin County
36564,1003,Point clear,AL,Baldwin County
36579,1003,Stockton,AL,Baldwin County
36526,1003,Daphne,AL,Baldwin County
36551,1003,Loxley,AL,Baldwin County
36555,1003,Magnolia springs,AL,Baldwin County
36542,1003,Gulf shores,AL,Baldwin County
36567,1003,Robertsdale,AL,Baldwin County
36533,1003,Fairhope,AL,Baldwin County
36576,1003,Silverhill,AL,Baldwin County
36580,1003,Summerdale,AL,Baldwin County
36547,1003,Gulf shores,AL,Baldwin County
36559,1003,Montrose,AL,Baldwin County
36562,1003,Perdido,AL,Baldwin County
36549,1003,Lillian,AL,Baldwin County
36577,1003,Spanish fort,AL,Baldwin County
36511,1003,Bon secour,AL,Baldwin County
36530,1003,Elberta,AL,Baldwin County
36480,1003,Uriah,AL,Baldwin County
36535,1003,Foley,AL,Baldwin County
36574,1003,Seminole,AL,Baldwin County
36536,1003,Foley,AL,Baldwin County
36578,1003,Stapleton,AL,Baldwin County
36017,1005,Clio,AL,Barbour County
36016,1005,Clayton,AL,Barbour County
36317,1005,Clopton,AL,Barbour County
36072,1005,Eufaula,AL,Barbour County
36311,1005,Ariton,AL,Barbour County
36048,1005,Louisville,AL,Barbour County
36053,1005,Midway,AL,Barbour County
36374,1005,Skipperville,AL,Barbour County
36027,1005,Eufaula,AL,Barbour County
35115,1007,Montevallo,AL,Bibb County
35184,1007,West blocton,AL,Bibb County
36750,1007,Maplesville,AL,Bibb County
36756,1007,Marion,AL,Bibb County
35074,1007,Green pond,AL,Bibb County
35042,1007,Centreville,AL,Bibb County
35111,1007,Mc calla,AL,Bibb County
35456,1007,Duncanville,AL,Bibb County
36792,1007,Randolph,AL,Bibb County
35080,1007,Helena,AL,Bibb County
35188,1007,Woodstock,AL,Bibb County
35034,1007,Brent,AL,Bibb County
35035,1007,Brierfield,AL,Bibb County
36793,1007,Lawley,AL,Bibb County
35063,1009,Empire,AL,Blount County
35146,1009,Springville,AL,Blount County
35980,1009,Horton,AL,Blount County
35013,1009,Allgood,AL,Blount County
35126,1009,Pinson,AL,Blount County
35097,1009,Locust fork,AL,Blount County
35049,1009,Cleveland,AL,Blount County
35172,1009,Trafford,AL,Blount County
35957,1009,Boaz,AL,Blount County
35031,1009,Blountsville,AL,Blount County
35133,1009,Remlap,AL,Blount County
35976,1009,Guntersville,AL,Blount County
35016,1009,Arab,AL,Blount County
35121,1009,Oneonta,AL,Blount County
35079,1009,Hayden,AL,Blount County
35180,1009,Warrior,AL,Blount County
35952,1009,Altoona,AL,Blount County
36029,1011,Fitzpatrick,AL,Bullock County
36052,1011,Mathews,AL,Bullock County
36089,1011,Union springs,AL,Bullock County
36860,1011,Hurtsboro,AL,Bullock County
36031,1011,Fort davis,AL,Bullock County
36081,1011,Troy,AL,Bullock County
36053,1011,Midway,AL,Bullock County
36005,1011,Banks,AL,Bullock County
36830,1011,Auburn,AL,Bullock County
36071,1013,Rutledge,AL,Butler County
36015,1013,Chapman,AL,Butler County
36042,1013,Honoraville,AL,Butler County
36474,1013,Red level,AL,Butler County
36033,1013,Georgiana,AL,Butler County
36456,1013,Mc kenzie,AL,Butler County
36030,1013,Forest home,AL,Butler County
36032,1013,Fort deposit,AL,Butler County
36037,1013,Greenville,AL,Butler County
36205,1015,Anniston,AL,Calhoun County
36250,1015,Alexandria,AL,Calhoun County
36204,1015,Anniston,AL,Calhoun County
36253,1015,Bynum,AL,Calhoun County
35096,1015,Lincoln,AL,Calhoun County
35905,1015,Gadsden,AL,Calhoun County
36206,1015,Anniston,AL,Calhoun County
36277,1015,Weaver,AL,Calhoun County
36260,1015,Eastaboga,AL,Calhoun County
36207,1015,Anniston,AL,Calhoun County
36272,1015,Piedmont,AL,Calhoun County
36202,1015,Anniston,AL,Calhoun County
36265,1015,Jacksonville,AL,Calhoun County
36201,1015,Anniston,AL,Calhoun County
36203,1015,Oxford,AL,Calhoun County
36257,1015,De armanville,AL,Calhoun County
36271,1015,Ohatchee,AL,Calhoun County
36279,1015,Wellington,AL,Calhoun County
36254,1015,Choccolocco,AL,Calhoun County
36854,1017,Valley,AL,Chambers County
36850,1017,Camp hill,AL,Chambers County
36879,1017,Waverly,AL,Chambers County
